问题id,问题,FA
847,深圳信立泰药业股份有限公司注射盐酸头孢吡肟（信力威、1.0克装）在2006年、2007年、2008年、2009年1-6月的最高零售价格分别为多少？,根据材料可知，深圳信立泰药业股份有限公司注射盐酸头孢吡肟（信力威、1.0克装）在2006年、2007年、2008年、2009年1-6月的最高零售价格分别为90.00元/支、90.00元/支、90.00元/支和90.00元/支。
851,广东银禧科技股份有限公司的控股股东是谁？,广东银禧科技股份有限公司的控股股东是瑞晨投资。
853,目前新疆浩源天然气股份有限公司的上游供应商是？,新疆浩源天然气股份有限公司的上游供应商是中国石油天然气股份有限公司塔里木油田分公司。
854,大博医疗科技股份有限公司的主要技术有哪些？,大博医疗科技股份有限公司的主要业务系医用高值耗材的生产、研发与销售，主要包括骨科创伤类植入耗材、脊柱类植入耗材及神经外科类植入耗材等产品。因此，可以得出结论，大博医疗科技股份有限公司的主要技术包括骨科植入类耗材的研发和制造技术。
855,上海真兰仪表科技股份有限公司何时完成与主业不相关的电气业务剥离？,上海真兰仪表科技股份有限公司在2020年11月完成了与主业不相关的电气业务剥离。
856,中国铁路通信信号股份有限公司生产经营中是否涉及环境污染？如果涉及，涉及环境污染的环节有哪些？,根据给定材料，中国铁路通信信号股份有限公司在生产经营活动中涉及到了环境污染的问题。具体来说，涉及到的环境污染环节包括机械加工过程中产生的电镀污泥和有机溶剂、电子产品装联和电缆挤塑过程中产生的有机溶剂、设备保养维护过程中产生的乳化液和废油、厂区锅炉供暖产生的二氧化硫和氮氧化物、废水产生的化学需氧量和氨氮等。为了减少对环境的影响，该公司已经采取了一系列环保措施，包括对废水、废气、噪声和固体废弃物进行治理和处理，并定期监测和报告环保数据。同时，该公司也制定了环保相关的政策和制度，以确保其环保工作的合规性和有效性。
857,读者出版传媒股份有限公司的主要业务是什么？,读者出版传媒股份有限公司的主要业务是期刊、图书（含教材教辅及一般图书）出版物的出版和发行。
861,勤上有限何时变更为内资企业？,勤上有限于2007年10月经相关部门批准后变更为内资企业。
862,北京天宜上佳高新材料股份有限公司的注册资本是多少？,"北京天宜上佳高新材料股份有限公司的注册资本是 40,085.7188 万元。"
866,2015年2016年，汉嘉设计集团股份有限公司主营业务成本中，人工费用占主营业务成本比例分别为多少？,2015年-2017年，公司主营业务成本中，人工费用占主营业务成本比例分别为67.70%、66.79%和42.78%。
867,浙江双飞无油轴承股份有限公司客户为哪些行业的企业？,根据给定材料，浙江双飞无油轴承股份有限公司的客户主要包括模具制造、汽车制造、工程机械、家用电器、航空航天等行业的企业。其中，汽车行业的主要客户有全球知名模具制造商MISUMI(米思米)公司、国内汽车零部件轴瓦行业龙头企业烟台大丰轴瓦有限责任公司、重型汽车生产基地中国重汽集团等；工程机械行业的主要客户有国内领先的高空作业车生产企业浙江鼎力机械股份有限公司等。
868,湖南长远锂科股份有限公司的采购模式是怎样的？,"湖南长远锂科股份有限公司的采购模式主要包括以下几项：
1. 建立了健全的采购管理制度，包括《湖南长远锂科股份有限公司采购管理规定》、《湖南长远锂科股份有限公司采购方式管理办法》、《湖南长远锂科股份有限公司采购议价管理办法》、《湖南长远锂科股份有限公司招标管理办法》、《湖南长远锂科股份有限公司供应商管理办法》等各项制度，规范公司采购行为，防范采购风险。
2. 对于未履行请购和审批程序的采购项目，采购部会拒绝实施采购。
3. 公司各部门在提交请购申请时，需提前明确部门采购业务的请购人及请购权限，并报采购部备案。如果未履行请购和审批程序的采购项目，采购部会拒绝实施采购。
4. 公司采购人员根据合同约定的时间及时支付采购款项，大额采购付款提前报送付款计划。付款时，按照财务部规定的单据、付款依据、审批权限、审批流程进行办理。采购部建立采购付款登记台账，对每份合同的付款情况进行过程跟踪和管理，并与财务部定期核对有关票据和金额。
5. 供应商管理方面，锂科有限设立时的股权结构如下：..."
871,浙江开尔新材料股份有限公司成立时主要产品有什么？,浙江开尔新材料股份有限公司成立时主要产品有立面装饰搪瓷材料、工业保护搪瓷材料、城市服务搪瓷材料三大系列，可广泛应用于地铁、城市隧道、地下人行通道等地下空间内饰景观，电厂脱硫工程，城市公共服务设施等领域。
878,青海互助青稞酒股份有限公司本次发行后总股本不超过多少？,"青海互助青稞酒股份有限公司本次发行后总股本不超过6,000万股人民币普通股。"
879,生态环境建设行业的上游是什么行业？,根据您提供的材料，生态环境建设行业的上游主要为苗木种植业。
880,华达汽车科技股份有限公司的下游行业是什么？主要客户有哪些？,华达汽车科技股份有限公司的下游行业是汽车行业，主要客户包括上汽大众、一汽-大众、上汽通用、上汽通用五菱、长安汽车、北京现代、东风日产、长安福特、长城汽车、一汽丰田等十家主流乘用车厂商。
881,根据读者出版传媒股份有限公司招股意向书，2013年我国新闻出版产业的利润总额是多少？,"根据材料，2013年我国新闻出版产业的利润总额为1,440.19亿元。"
884,内蒙古君正能源化工股份有限公司产业链的核心环节是什么？,电力是公司各主营产品成本的主要构成部分，是公司完整产业链的核心环节。通过自备电厂实现电力自供不仅完善了公司氯碱及硅铁及产业链，而且为公司产业链形成并保持竞争力奠定了坚实基础。
885,海南双成药业股份有限公司的核心技术优势是什么？,海南双成药业股份有限公司掌握多肽类产品合成的核心技术，并自主研发成功“高效偶联固相合成技术”和“合成终点检测技术”。此外，公司还具备一定的研发能力，拥有多项专利。
886,为防止技术失密，华达汽车科技股份有限公司采取了哪些措施？,华达汽车科技股份有限公司为防止技术失密采取了较为谨慎的专利申请原则，同时与高级管理人员、核心技术人员以及相关研发人员均签订了严格的保密协议，并建立了完善的知识产权管理制度和科技创新奖励办法。
887,大连派思燃气系统股份有限公司的技术开发机构在何时被认定为省级企业技术中心？,大连派思燃气系统股份有限公司的技术开发机构是在2013年10月被认定为省级企业技术中心的。
894,根据该招股意向书，江苏旷达汽车织物集团股份有限公司正在从事研发项目包括哪些？,"根据该招股意向书，江苏旷达汽车织物集团股份有限公司正在从事研发项目包括：
引进无梭织机生产高档汽车内饰面料项目。"
901,海南双成药业股份有限公司的竞争劣势有哪些？,"材料中提到的公司竞争劣势包括：
1. 公司主要产品较为单一，收入的大部分来源于注射用胸腺法新；
2. 缺乏通畅的资本市场融资渠道，限制了发展速度；
3. 与国内知名大中型企业相比，公司高附加值产品不够丰富。"
902,在2019年报中，鹏华核心优势混合A基金第四大重仓股的代码和股票名称是什么？,根据给定材料，无法回答该问题。
907,读者出版传媒股份有限公司董事是谁？,读者出版传媒股份有限公司董事包括高新才、陈芳平、李宗义、刘立等。
909,江苏爱康太阳能科技股份有限公司报告期内第一大客户是谁？,江苏爱康太阳能科技股份有限公司报告期内第一大客户是无锡尚德。
915,海南双成药业股份有限公司的经营范围是什么？,海南双成药业股份有限公司的经营范围是：冻干粉针剂、胶囊剂、片剂、颗粒剂、原料药的研究、开发、生产、销售；化工产品（专营除外）、普通机械设备的生产销售（凡需行政许可项目凭许可证经营）。
916,江苏旷达汽车织物集团股份有限公司是否存在管理风险？有哪些管理风险？,根据给定材料，江苏旷达汽车织物集团股份有限公司存在一定的管理风险。由于整车降价的压力由汽车制造商部分转嫁到汽车零部件供应商，从而影响到汽车内饰面料销售价格的变化，近三年公司汽车内饰面料的平均销售价格呈逐年小幅下降趋势。此外，公司还面临经营、政策、市场风险、税收政策变化风险等。因此，建议投资者在投资时应该关注这些管理风险。
918,广东银禧科技股份有限公司注册资本是多少？,"广东银禧科技股份有限公司的注册资本为7,500万元。"
919,2019年中期报告里，东方基金管理股份有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,根据提供材料，无法回答该问题。
921,大博医疗科技股份有限公司在2015年受到了哪些行政处罚？,2015年4月22日，厦门市食品药品监督管理局出具了《行政处罚决定书》，对大博有限处以没收金属骨针161个（货值：6279元），罚款2万元。受到上述处罚后，发行人对相应处罚内容采取了有效措施予以规范和整改。
922,2010年和2009年浙江开尔新材料股份有限公司签署的海外项目折合人民币金额分别是多少？,2010年和2009年浙江开尔新材料股份有限公司签署的海外项目折合人民币金额分别是665万元和36万元。
924,湖南长远锂科股份有限公司日常业务的经营主要涉及哪些部门？,湖南长远锂科股份有限公司日常业务的经营主要涉及研发中心、采购部、制造部以及销售部等相关部门。
926,烟台杰瑞石油服务集团股份有限公司获得过哪些荣誉称号？,烟台杰瑞石油服务集团股份有限公司获得过的荣誉称号有：“山东省优秀中小企业”、“山东省成长型中小企业”、2006年度和2007年度“烟台市百强民营企业”。
927,为推广IPTV业务并提升山东海看网络科技有限公司IPTV业务知名度，报告期内山东海看网络科技有限公司要主要通过什么方式进行业务宣传？,根据给定材料，为推广IPTV业务并提升山东海看网络科技有限公司IPTV业务知名度，报告期内山东海看网络科技有限公司主要通过广告投放、策划组织线下活动等方式进行业务宣传。
928,南京中电联环保股份有限公司的住所为？,南京中电联环保股份有限公司的住所为南京市江宁开发区诚信大道1800号。
929,浙江开尔新材料股份有限公司本次发行拟发行股份多少？发行后总股本为多少？,"浙江开尔新材料股份有限公司本次发行拟发行股份2,000万股，发行后总股本为8,000万股。"
930,2018年、2019年及2020年，森赫电梯股份有限公司境外销售收入分别为多少万元？占主营业务收入的比例为多少？,"2018年、2019年及2020年，森赫电梯股份有限公司境外销售收入分别为11,751.32万元、9,855.10万元和 9,466.41万元，占主营业务收入的比例分别为 26.02%、19.82%和17.81%。"
932,珠海健帆生物科技股份有限公司计划投资多少资金用于扩建研发中心？,"珠海健帆生物科技股份有限公司计划投资7,208.00万元用于扩建研发中心。"
933,根据中国证监会颁布的《上市公司行业分类指导》的规定，西安启源机电装备股份有限公司所属的行业大类、中类、小类是什么？,根据中国证监会颁布的《上市公司行业分类指导》的规定，西安启源机电装备股份有限公司所属的行业大类是“C7 机械、设备、仪表”，中类是“C76 电器机械及器材制造业”，小类是“C7615 电工器械制造业”。
937,江苏爱康太阳能科技股份有限公司成立时，主要发起人是谁？,江苏爱康太阳能科技股份有限公司成立时，主要发起人是爱康实业和爱康国际。
941,2017年1-6月，大博医疗科技股份有限公司水费单价为什么上升？,"根据给定材料，2017年1-6月，大博医疗科技股份有限公司的水费单价上升是因为2017年1月1日起厦门市污水处理费由每吨1.2元涨至每吨1.5元，具体内容见以下截图。

 因此，大博医疗科技股份有限公司的水费单价上升是因为政策原因导致的污水处理费用上涨。"
943,上海真兰仪表科技股份有限公司2020年增资的价格是多少？,2020年增资的价格是6.39元/股。
946,2015年至2017年，汉嘉设计集团股份有限公司来自浙江省内的业务收入占公司当期主营业务收入的比例分别是多少？,2015年至2017年，汉嘉设计集团股份有限公司来自浙江省内的业务收入分别占当期主营业务收入的55.29%，51.19%，69.90%。
947,报告期内云南沃森生物技术股份有限公司销售的自产疫苗产品有哪些？,根据给定材料，云南沃森生物技术股份有限公司销售的自产疫苗产品包括:吸附破伤风疫苗、重组乙肝疫苗(酵母)、b 型流感嗜血杆菌结合疫苗、冻干 ACYW135 群脑膜炎球菌多糖疫苗、ACYW135 群脑膜炎球菌多糖疫苗(液体)。
948,湖南长远锂科股份有限公司的主要产品有哪些？,湖南长远锂科股份有限公司的主要产品包括三元正极材料、钴酸锂正极材料、球镍等。此外，公司还从事废旧电池回收利用业务。
954,在20191007，按照申万行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,无法回答
956,为了防范意外事故造成的损失，新疆浩源天然气股份有限公司何时购买了什么保险？,为了防范意外事故造成的损失，新疆浩源天然气股份有限公司于2010年8月购买了长输管线、中压管网财产保险和公众责任险等。
957,武汉兴图新科电子股份有限公司在哪个领域已经成为重要供应商？,武汉兴图新科电子股份有限公司在国防军队视频指挥领域已经成为重要供应商。
960,根据招股意向书，昇兴集团股份有限公司与下游食品饮料行业中的哪些知名企业结成了良好的合作关系？,昇兴集团股份有限公司与下游食品饮料行业中的知名企业，如惠尔康、银鹭集团、承德露露、养元饮品、达利集团、中国旺旺、广药王老吉、青岛啤酒、燕京惠泉等结成了良好的合作关系。
964,项目建成达产后，杭州中恒电气股份有限公司将新增多少套通信电源系统和电力操作电源系统？,"根据题目中的描述，“项目建成达产后，杭州中恒电气股份有限公司将新增 6,000 套通信电源系统（其中：室外通信电源系统 4,000 套、室内通信电源系统 2,000套）和 2,000 套电力操作电源系统。”所以答案是“项目建成达产后，杭州中恒电气股份有限公司将新增 6,000 套通信电源系统和 2,000 套电力操作电源系统。”"
965,华达汽车科技股份有限公司的主要原材料是什么？报告期间，主要原材料占公司主营业务成本比例约为多少？,华达汽车科技股份有限公司的主要原材料是车用板材和管材，主要包括普通钢板、镀锌钢板、铝板等。报告期间，主要原材料占公司主营业务成本比例约为80%。
966,根据江苏爱康太阳能科技股份有限公司招股意向书，2009年我国太阳能电池产量为多少？,"根据江苏爱康太阳能科技股份有限公司招股意向书，2009年我国太阳能电池产量为3,500MW。"
967,与江苏旷达汽车织物集团股份有限公司在行业内形成竞争的汽车内饰面料生产企业的合资企业和内资企业有哪些？,与江苏旷达汽车织物集团股份有限公司在行业内形成竞争的汽车内饰面料生产企业的合资企业主要有瑞安市李尔汽车面料有限公司和上海申达川岛织物有限公司，内资企业主要有武汉博奇汽车装饰布有限公司、上海新纺联汽车内饰有限公司和宏达高科控股股份有限公司。
969,2017年，汉嘉设计集团股份有限公司因计提应收账款坏账准备产生的资产减值损失是多少？,"2017年，汉嘉设计集团股份有限公司因计提应收账款坏账准备产生的资产减值损失为1,340.78万元。"
971,2008年度、2009年度深圳市铁汉生态环境股份有限公司生态修复工程收入的增长率分别为多少？,2008年度、2009年度深圳市铁汉生态环境股份有限公司生态修复工程收入的增长率分别为23.04%、51.65%。
972,在本招股意向书的报告期内，常熟风范电力设备股份有限公司的综合毛利率分别为多少？呈现怎样的趋势？,在本招股意向书的报告期内，常熟风范电力设备股份有限公司的综合毛利率分别为26.29%、27.76%、28.56%、28.71%，呈现上升的趋势。
973,请问2019年四季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,无法回答
974,东莞勤上光电股份有限公司应收账款净额在2008年末、2009年末、2010年末和2011年6月30日分别为多少？占资产总额的比重分别为多少？,"东莞勤上光电股份有限公司应收账款净额在2008年末、2009年末、2010年末和2011年6月30日分别为13,351万元、18,920万元、20,323万元和18,082万元，占资产总额的比重分别为18%、24%、17%和14%。"
978,2019年年度报告里，格林基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,根据给定材料，我无法找到答案。
980,杭州中恒电气股份有限公司面临哪些人力资源方面的风险？,根据上述材料，杭州中恒电气股份有限公司面临的人力资源方面的风险包括：一是核心技术人员和营销骨干流失的风险，二是公司虽然采取了多种激励手段，保持了核心团队的长期稳定，但仍然存在核心技术人员流失的风险；三是公司募集资金项目的实施需要更多技术和营销人员，如果公司无法及时培养并补充优秀人才，将面临人力资源优势难以得到持续保证的风险。
981,根据联化科技股份有限公司招股意见书，精细化工产品与基础化工产品相比有哪些特性？,精细化工行业具有产品多样化、更新速度快，同时对工艺清洁化、节能化要求比较高的行业特性，这决定了进入本行业的主要障碍是技术壁垒、客户壁垒、规模壁垒和绿色壁垒。
986,浙江开尔新材料股份有限公司的主要原材料有哪些？,浙江开尔新材料股份有限公司的主要原材料包括釉料、熔块、色料等。
987,广州中海达卫星导航技术股份有限公司对海外代理商的选择标准是怎样的？,"根据给定材料，广州中海达卫星导航技术股份有限公司对海外代理商的选择标准是：
A、拥有高精度GNSS行业或应用领域经营或从业经验；
B、拥有行业分销渠道；
C、有售后服务能力；
D、具有较高的信用信誉和财务保障能力；
E、拥有一定的社会背景资源。"
988,深圳市超频三科技股份有限公司目前主要产品是什么？什么是公司未来业务增长的重点产品？,深圳市超频三科技股份有限公司目前主要产品是电子产品新型散热器件的研发、生产和销售。根据公司描述，公司未来业务增长的重点产品为LED照明散热组件和PC散热配件。
992,报告期内，上海真兰仪表科技股份有限公司实际持有的哪些公司由自然人代为持股？何时该部分股份代持予以解除？,"需要提取的信息包括：公司实际持有的由自然人代为持股的公司名称、代持时间以及解除时间。根据提供的材料，在2020年之前，公司存在以下由自然人代为持股的情况：

  * 罗德精密：2018年1月30日设立时工商登记发起人为唐建荣、汪顺来和叶小容。其中唐建荣认购4,850万股，占比97%，系代朵越实业持有。2020年该部分股份代持予以解除。
  * 鲲彤智能：2018年5月2日，精密模具与于秀焕签署《代持股协议书》，约定于秀焕代精密模具持有鲲彤智能100%的股权（认缴出资额3,000万元）。2020年6月2日，精密模具与于秀焕签署《终止协议书》解除代持，并于2020年8月14日完成工商变更手续。

因此，答案为：公司实际持有的由自然人代为持股的公司为罗德精密和鲲彤智能，代持时间分别为2018年和2018年5月2日，代持解除时间分别为2020年和2020年8月14日。"
996,2007年度，工业业务和贸易业务分别占联化科技股份有限公司毛利比重为多少？,2007年度，工业业务占联化科技股份有限公司毛利比重为94.42%，贸易业务占联化科技股份有限公司毛利比重为5.58%。
997,东莞勤上光电股份有限公司实际控制人是谁？持有多少股份？,东莞勤上光电股份有限公司实际控制人为李旭亮夫妇，他们持有股份并未在材料中直接给出。
999,截至2009年12月31日，兰州海默科技股份有限公司的正式在册员工人数是多少？,根据给定材料，截至2009年12月31日，兰州海默科技股份有限公司的正式在册员工人数是240人。
